servicePointId,readingType,variableId,deviceId,meteringType,readingUtcLocalTime,readingDateSource,readingLocalTime,dstStatus,channel,unitOfMeasure,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,intervalSize,logNumber,ct,pt,ke,sf,version,readingsValue,primarySource,owner,guidFile,estatus,registersNumber,eventsCode,agentId,agentDescription
2testEE,Registros,kWh Delivered TierC,2,Main,,,2011-05-16T06:32:00.000-03:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,144208,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Delivered TierA,2,Main,,,2011-05-16T06:32:00.000-03:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Delivered TierB,2,Main,,,2011-05-16T06:32:00.000-03:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Delivered TierD,2,Main,,,2011-05-16T06:32:00.000-03:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Delivered Total,2,Main,,,2011-05-16T06:32:00.000-03:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,144208,Remoto,sacar del Path,sacar del Path,Activo,,,,
2testEE,Registros,kWh Received Total,2,Main,,,2011-05-16T06:32:00.000-03:00,,,kWh,qualityCodesSystemId,qualityCodesCategorization,qualityCodesIndex,,,,,1,,,0,Remoto,sacar del Path,sacar del Path,Activo,,,,
